Gender,Hours Studied,Previous Scores,Extracurricular Activities,Tuition,Sleep Hours,Sample Question Papers Practiced,Performance Index
Male,2,63,Yes,Yes,8,8,48
Male,2,79,Yes,Yes,6,1,59
Male,1,86,Yes,Yes,5,4,64
Male,8,60,Yes,Yes,7,5,58
Male,1,64,Yes,No,7,7,37
Male,9,91,Yes,No,9,3,88
Female,6,96,No,No,6,6,93
Male,7,98,Yes,Yes,6,6,93
Female,7,62,No,No,6,3,58
Male,3,61,Yes,No,6,0,47
Male,2,43,No,Yes,5,2,21
Female,9,73,No,No,8,1,75
Female,8,95,No,No,5,2,93
Female,7,45,No,Yes,5,4,42
Female,9,67,No,Yes,5,0,70
Female,4,70,No,Yes,7,4,57
Male,4,74,Yes,Yes,5,1,57
Male,1,78,Yes,No,6,3,53
Male,8,81,Yes,No,5,5,79
Female,3,62,Yes,No,6,8,48
Male,7,45,Yes,No,9,9,37
Male,2,55,Yes,No,8,5,35
Female,2,41,No,Yes,7,9,26
Female,7,63,Yes,No,8,1,59
Female,6,56,No,Yes,9,7,53
Female,3,84,No,Yes,8,4,72
Male,9,40,No,No,7,8,38
Female,6,45,No,No,6,9,36
Male,6,44,No,Yes,9,8,37
Male,1,96,No,Yes,9,3,72
Female,4,84,Yes,No,6,0,71
Female,6,94,No,No,6,8,88
Male,6,89,No,No,7,8,83
Male,5,68,Yes,Yes,5,7,59
Female,1,51,Yes,Yes,4,4,30
Male,8,78,Yes,Yes,5,4,77
Male,5,86,Yes,No,5,9,73
Female,5,42,Yes,Yes,8,5,34
Male,7,87,Yes,Yes,4,0,76
Female,4,40,Yes,No,6,8,28
Female,6,66,No,No,5,4,58
Male,4,87,Yes,No,7,6,75
Female,3,63,No,No,5,7,49
Female,7,83,Yes,No,6,4,79
Female,8,58,Yes,Yes,5,2,55
Female,4,98,No,No,9,5,84
Female,2,47,Yes,Yes,8,6,32
Male,3,94,Yes,Yes,8,3,81
Female,1,83,Yes,No,5,8,64
Female,8,86,Yes,Yes,8,3,87
Female,3,41,Yes,Yes,7,9,24
Female,7,69,Yes,No,4,1,60
Female,5,69,Yes,No,5,8,55
Male,5,88,No,No,7,3,76
Male,7,78,Yes,Yes,9,3,74
Male,9,84,No,Yes,7,9,86
Female,5,71,No,Yes,7,0,64
Male,1,40,No,Yes,9,1,17
Male,1,77,No,No,6,2,56
Male,2,52,No,No,5,6,29
Female,6,50,No,No,5,8,38
Female,9,49,No,No,5,4,43
Male,8,87,Yes,No,4,3,83
Male,5,98,Yes,No,7,1,87
Male,1,65,Yes,Yes,5,6,45
Female,7,95,No,No,8,5,88
Female,5,94,Yes,No,6,6,82
Male,6,59,No,No,9,7,53
Female,7,56,No,No,9,8,52
Male,3,56,Yes,No,4,9,36
Female,3,43,No,No,9,4,30
Male,5,44,No,No,6,4,28
Female,6,62,Yes,Yes,7,3,57
Female,9,85,No,No,9,2,89
Female,5,91,Yes,No,9,6,85
Male,1,49,No,No,8,4,27
Female,4,85,No,No,7,6,74
Male,5,67,Yes,No,5,1,57
Female,5,72,Yes,No,6,8,64
Male,7,82,Yes,Yes,9,8,81
Female,4,65,No,Yes,8,8,56
Female,1,94,No,No,6,4,71
Male,5,89,Yes,Yes,4,9,77
Male,7,87,Yes,Yes,8,8,80
Male,6,68,Yes,Yes,4,0,61
Female,5,66,No,Yes,9,1,58
Male,4,57,No,No,8,9,40
Male,2,79,Yes,Yes,5,4,64
Male,4,49,Yes,Yes,6,4,38
Male,3,97,Yes,No,6,5,79
Male,1,81,No,No,7,7,58
Female,8,44,Yes,No,8,0,42
Female,5,49,Yes,Yes,8,9,42
Male,4,89,Yes,No,4,8,76
Male,8,60,No,No,8,3,56
Male,7,63,No,Yes,6,7,56
Female,2,77,Yes,No,8,4,60
Male,1,42,No,No,7,0,17
Male,4,79,Yes,No,7,8,68
Female,8,70,Yes,No,6,7,69
Female,2,80,Yes,No,6,4,61
Male,3,76,Yes,No,6,3,58
Female,1,41,No,Yes,8,7,20
Female,1,41,Yes,No,8,8,26
Female,3,78,Yes,No,5,6,66
Female,5,88,No,No,9,3,80
Female,3,81,Yes,No,9,6,67
Male,1,83,No,No,4,5,54
Female,1,73,Yes,No,8,2,52
Male,8,81,Yes,No,5,9,78
Female,2,59,Yes,No,5,2,37
Male,3,72,Yes,Yes,7,0,55
Female,2,43,No,No,8,4,23
Male,3,84,Yes,No,5,7,64
Female,7,83,No,No,7,5,82
Female,1,50,No,No,4,7,26
Female,8,81,No,Yes,7,6,85
Male,2,86,Yes,Yes,4,1,65
Female,3,44,No,No,9,7,28
Male,9,64,No,No,9,3,63
Female,7,88,No,Yes,6,4,86
Female,4,76,Yes,Yes,6,7,64
Female,5,73,Yes,Yes,7,4,67
Male,2,48,No,Yes,6,4,26
Female,8,45,No,Yes,8,5,50
Female,4,57,Yes,Yes,7,6,46
Male,9,53,No,Yes,5,8,55
Female,5,58,No,No,8,6,47
Male,9,53,No,No,7,5,54
Female,4,79,Yes,No,9,9,67
Male,5,56,No,No,4,3,41
Male,9,74,No,Yes,6,9,75
Female,8,68,Yes,No,6,1,65
Female,3,81,No,No,6,8,62
Male,1,56,Yes,No,7,9,31
Male,3,98,Yes,No,8,4,81
Female,4,82,Yes,No,4,4,69
Male,2,47,No,No,6,2,22
Female,1,40,No,No,8,2,16
Male,7,84,No,Yes,5,0,78
Male,8,92,No,No,9,4,89
Male,7,75,No,No,5,2,67
Male,5,46,No,Yes,4,1,35
Male,1,85,No,Yes,6,8,65
Male,7,44,No,No,5,9,34
Male,7,63,Yes,Yes,9,5,62
Female,9,67,No,Yes,8,2,73
Female,3,82,No,Yes,8,6,66
Female,9,56,Yes,No,5,8,58
Male,1,76,No,Yes,6,8,58
Male,1,59,Yes,No,9,0,34
Female,4,42,No,No,4,1,27
Female,9,76,No,No,6,7,75
Female,6,65,Yes,Yes,7,0,59
Female,3,54,Yes,Yes,5,2,38
Male,1,90,No,Yes,7,6,70
Male,4,87,Yes,No,5,7,73
Male,9,47,No,Yes,4,4,47
Female,3,52,No,No,6,1,35
Male,9,87,No,No,9,2,88
Female,7,42,No,No,6,8,40
Male,4,40,No,Yes,5,9,25
Male,3,48,No,No,8,6,24
Male,5,70,Yes,No,7,0,56
Male,5,80,Yes,Yes,9,2,70
Female,3,93,Yes,Yes,9,8,84
Male,9,65,No,Yes,6,6,61
Female,4,56,Yes,No,6,1,42
Female,5,95,No,No,5,5,87
Female,4,73,Yes,Yes,8,8,64
Female,5,48,No,Yes,7,3,41
Male,7,95,No,Yes,8,9,91
Female,9,90,No,Yes,9,1,96
Female,7,52,No,Yes,8,2,50
Female,5,44,No,Yes,5,6,34
Male,7,80,Yes,Yes,8,3,77
Male,5,52,No,No,7,6,41
Female,3,40,Yes,No,9,4,24
Male,7,64,No,Yes,4,7,58
Male,2,86,No,Yes,9,7,69
Female,9,43,No,No,4,4,42
Male,1,75,Yes,Yes,7,6,55
Male,6,91,No,Yes,9,5,86
Female,7,49,Yes,Yes,9,7,46
Male,8,67,No,No,9,8,64
Male,9,96,Yes,Yes,9,4,100
Female,2,45,Yes,No,5,6,26
Male,2,66,Yes,Yes,6,0,49
Male,5,95,No,Yes,9,7,88
Female,5,51,No,No,5,2,39
Male,6,91,Yes,Yes,7,0,87
Female,3,87,No,Yes,9,5,74
Female,8,42,No,No,8,7,39
Male,1,85,No,Yes,9,2,68
Male,6,72,Yes,No,9,0,64
Female,4,49,Yes,No,4,2,33
Male,1,70,No,Yes,8,4,48
Male,7,54,Yes,Yes,9,7,49
Male,9,46,No,Yes,9,8,48
Female,4,75,No,No,9,8,65
Male,4,53,Yes,No,5,3,31
Male,6,95,Yes,No,7,7,89
Male,3,87,No,No,4,4,68
Male,6,53,No,No,9,2,41
Female,7,42,No,Yes,7,4,40
Female,3,88,Yes,Yes,4,1,72
Female,7,92,Yes,No,4,5,85
Female,3,85,No,Yes,4,0,70
Male,2,89,No,No,9,5,70
Male,4,42,Yes,Yes,5,4,30
Male,8,61,No,Yes,9,8,57
Female,9,58,Yes,No,9,6,59
Female,7,74,Yes,No,7,5,71
Female,1,51,No,No,6,6,30
Male,3,93,No,No,6,9,76
Male,9,44,Yes,No,6,4,44
Male,1,49,No,Yes,7,0,27
Female,9,80,Yes,No,8,8,84
Male,8,72,Yes,No,7,4,66
Female,1,52,Yes,No,4,3,30
Male,6,74,No,Yes,9,5,65
Female,5,90,No,Yes,8,4,81
Female,6,71,No,No,4,0,59
Male,5,50,Yes,Yes,9,1,44
Male,6,87,Yes,Yes,9,3,81
Female,5,77,Yes,No,4,7,67
Female,5,63,Yes,No,7,4,54
Female,4,74,No,Yes,6,6,65
Female,3,58,No,Yes,8,1,42
Male,3,45,No,No,9,7,28
Male,4,79,Yes,No,5,4,61
Female,9,93,Yes,Yes,9,3,95
Female,2,84,No,No,6,8,69
Female,9,83,Yes,Yes,9,5,88
Female,1,81,No,No,5,3,58
Male,1,74,Yes,No,7,7,53
Male,5,43,Yes,No,9,2,32
Female,6,72,Yes,No,8,9,65
Female,6,52,Yes,No,7,1,45
Female,3,95,Yes,Yes,5,6,83
Female,7,75,No,Yes,4,3,69
Female,9,93,No,No,9,3,93
Male,8,82,No,No,7,9,78
Male,6,58,Yes,No,9,8,50
Female,8,82,No,No,8,1,83
Female,5,51,No,Yes,9,0,42
Female,8,50,Yes,No,7,6,52
Female,4,45,Yes,No,6,7,33
Male,8,51,No,No,7,2,42
Male,2,66,No,No,5,1,43
Female,5,80,No,Yes,7,3,76
Male,9,64,No,No,8,1,62
Male,4,81,No,Yes,7,1,66
Female,6,42,Yes,No,7,4,33
Female,1,42,No,No,8,9,22
Female,9,59,No,Yes,7,4,60
Male,1,67,No,No,8,7,47
Male,5,62,No,Yes,5,8,54
Male,4,87,No,No,8,1,73
Male,3,42,No,Yes,5,0,22
Male,6,81,Yes,No,5,2,73
Male,2,63,Yes,Yes,8,5,48
Male,3,82,Yes,No,7,4,67
Male,5,79,No,No,9,7,68
Female,9,45,No,Yes,6,7,49
Female,2,59,Yes,No,9,1,41
Female,8,50,No,No,8,8,50
Male,2,71,No,No,7,3,52
Male,5,66,No,Yes,5,0,51
Female,7,60,Yes,No,4,1,54
Male,8,83,Yes,Yes,6,5,83
Female,1,87,Yes,No,9,4,69
Male,6,89,No,Yes,7,6,82
Male,1,52,Yes,Yes,6,8,31
Male,2,61,Yes,Yes,4,5,42
Female,1,74,Yes,No,4,5,52
Male,5,86,No,No,4,1,70
Female,9,61,Yes,No,9,6,65
Male,6,67,Yes,No,8,1,58
Female,1,60,No,No,6,6,35
Male,1,85,Yes,No,8,7,60
Male,2,57,No,No,4,0,33
Male,9,70,No,No,7,8,76
Male,3,85,Yes,No,4,7,66
Female,1,76,Yes,No,8,8,54
Female,5,60,Yes,No,4,4,47
Female,7,53,No,No,4,3,47
Female,6,64,Yes,Yes,8,0,63
Male,1,66,Yes,Yes,8,8,45
Male,5,79,Yes,No,7,3,67
Male,5,62,No,Yes,8,3,51
Female,6,70,No,No,7,3,64
Male,3,86,No,No,5,1,65
Male,5,68,Yes,No,5,3,56
Male,7,86,Yes,No,8,1,74
Female,5,69,No,Yes,4,7,62
Male,5,90,Yes,No,6,6,77
Female,5,65,Yes,No,4,9,56
Female,3,59,No,Yes,8,1,45
Male,1,77,No,Yes,7,1,52
Male,5,58,No,Yes,4,1,46
Male,9,66,Yes,No,5,0,65
Female,1,64,Yes,Yes,9,5,47
Female,3,79,Yes,Yes,8,5,64
Female,4,77,No,Yes,4,0,65
Male,1,91,No,No,9,0,68
Female,1,62,Yes,No,4,5,38
Male,8,68,No,No,7,5,57
Male,2,54,No,No,7,3,31
Male,8,98,Yes,Yes,7,2,94
Female,7,42,No,No,9,8,38
Female,2,49,Yes,Yes,6,5,30
Male,6,54,No,Yes,9,0,44
Male,6,95,Yes,Yes,8,2,90
Male,3,55,No,Yes,8,0,39
Female,2,56,Yes,Yes,5,2,40
Male,1,58,No,No,5,1,30
Male,6,50,No,Yes,8,4,42
Female,5,87,No,No,4,2,73
Male,9,44,No,No,8,6,41
Male,1,44,No,No,6,7,18
Female,7,97,Yes,No,5,6,90
Female,5,53,Yes,No,5,1,40
Female,5,89,Yes,Yes,9,9,85
Female,2,65,No,No,5,9,44
Female,3,47,Yes,Yes,8,6,35
Female,7,44,No,Yes,5,9,38
Male,6,46,No,Yes,5,2,37
Male,2,55,Yes,Yes,9,6,38
Male,6,94,Yes,No,8,0,85
Female,2,53,No,Yes,4,1,35
Female,2,76,No,No,5,9,55
Male,2,95,Yes,No,5,0,73
Female,3,80,Yes,No,5,8,62
Male,2,43,No,No,6,1,19
Female,4,75,No,Yes,8,1,66
Female,9,87,Yes,No,5,5,86
Male,6,95,No,No,6,6,85
Male,1,56,No,No,4,1,27
Male,8,86,Yes,No,4,3,81
Male,7,75,Yes,No,9,2,71
Male,3,45,No,No,9,4,26
Female,1,55,No,Yes,9,8,38
Female,5,68,Yes,No,6,1,56
Male,4,75,No,No,4,4,56
Female,8,77,Yes,Yes,9,7,81
Male,1,76,No,No,7,5,53
Male,1,87,Yes,Yes,9,3,65
Male,4,96,No,No,4,9,82
Male,8,87,No,No,7,7,86
Female,5,49,No,No,6,2,35
Male,2,80,Yes,No,7,3,62
Male,6,75,Yes,No,4,8,65
Male,5,68,Yes,Yes,5,4,57
Male,2,53,No,Yes,7,5,38
Female,3,43,No,No,4,1,26
Male,9,83,Yes,Yes,9,8,85
Female,7,95,Yes,No,5,7,90
Male,7,81,No,Yes,6,6,77
Male,6,75,No,No,6,8,66
Female,8,89,No,Yes,8,4,91
Male,4,84,No,Yes,6,4,69
Male,8,52,Yes,Yes,8,8,51
Male,4,85,Yes,Yes,6,4,72
Male,8,57,No,Yes,6,8,52
Male,9,72,No,No,6,0,70
Female,3,60,No,Yes,8,9,48
Male,3,55,Yes,Yes,9,9,39
Male,2,54,Yes,No,8,7,35
Male,3,93,No,Yes,7,2,74
Male,3,96,No,No,4,7,77
Male,5,44,No,No,4,4,31
Male,5,45,No,No,9,1,32
Male,2,77,No,No,4,8,56
Female,6,42,No,Yes,6,3,37
Male,5,87,Yes,No,9,6,77
Male,6,51,Yes,No,4,7,40
Female,1,75,Yes,No,8,6,54
Female,5,72,No,Yes,7,5,67
Female,9,75,No,Yes,5,6,79
Female,2,72,No,No,7,3,55
Female,1,70,Yes,Yes,4,9,53
Male,9,60,No,Yes,9,0,59
Male,9,66,Yes,Yes,4,4,65
Female,9,66,No,No,8,7,64
Female,6,47,No,No,7,9,36
Male,8,95,No,No,8,5,88
Male,1,76,Yes,No,8,4,48
Female,4,71,Yes,Yes,5,1,59
Female,1,65,Yes,No,8,9,47
Female,8,41,No,Yes,8,4,42
Male,1,51,Yes,No,5,9,28
Male,3,61,No,No,6,2,41
Female,4,56,No,Yes,6,1,44
Female,8,46,Yes,No,9,2,46
Male,6,82,Yes,No,5,3,71
Male,7,43,No,No,9,1,36
Female,8,76,No,Yes,9,3,77
Male,2,77,No,Yes,8,3,56
Female,8,71,No,Yes,9,5,73
Male,3,50,Yes,Yes,4,4,30
Female,7,40,Yes,No,7,6,37
Female,3,64,Yes,Yes,4,6,51
Male,7,81,No,No,4,2,75
Female,2,91,No,Yes,8,8,75
Female,6,63,No,Yes,7,6,55
Male,3,92,Yes,No,9,6,72
Female,3,82,No,No,7,1,69
Male,9,95,No,Yes,9,9,98
Female,7,56,Yes,No,6,2,47
Male,5,47,Yes,Yes,5,2,37
Male,7,98,No,No,8,5,91
Female,9,84,Yes,Yes,9,3,87
Male,1,66,No,Yes,9,3,48
Male,7,91,Yes,No,7,0,83
Female,6,57,No,No,8,5,51
Male,9,66,Yes,Yes,9,7,70
Male,1,61,Yes,No,6,7,43
Female,4,55,Yes,Yes,4,7,43
Male,9,41,Yes,No,9,4,38
Female,4,44,No,No,7,9,29
Male,3,57,No,Yes,6,5,43
Female,9,42,Yes,No,8,4,44
Female,2,66,No,No,9,3,46
Female,4,93,Yes,Yes,6,3,84
Female,6,56,Yes,Yes,6,3,54
Male,2,55,No,No,6,3,36
Female,8,45,No,No,6,5,43
Female,8,90,No,Yes,6,5,93
Female,1,46,No,Yes,6,4,23
Female,3,89,No,Yes,5,8,77
Male,9,53,No,Yes,8,7,55
Female,5,77,No,Yes,4,9,67
Male,6,79,Yes,No,8,5,68
Male,4,54,No,Yes,7,8,40
Male,2,86,Yes,Yes,7,4,69
Female,8,86,No,No,8,9,83
